[INFO] [2024-04-24 17:41:32,758] Epoch<3/3>|Step<7/13> avg loss:1.036448
[INFO] [2024-04-24 17:41:35,818] Epoch<3/3>|Step<8/13> avg loss:1.032605
[INFO] [2024-04-24 17:41:38,775] Epoch<3/3>|Step<9/13> avg loss:1.036072
[INFO] [2024-04-24 17:41:41,915] Epoch<3/3>|Step<10/13> avg loss:1.035936
[INFO] [2024-04-24 17:41:45,466] Epoch<3/3>|Step<11/13> avg loss:1.033900
[INFO] [2024-04-24 17:41:48,592] Epoch<3/3>|Step<12/13> avg loss:1.034842
[INFO] [2024-04-24 17:41:50,086] Epoch<3/3>|Step<13/13> avg loss:1.038019
[INFO] [2024-04-24 17:45:26,552] Epoch<3/3> current loss:1.040601, best loss:1.040601, current PSNR:13.465387(max:21.083416|min:6.995938), best PSNR:13.465387
[INFO] [2024-04-24 17:57:01,199] Epoch<1/3> current lr:0.010000
[INFO] [2024-04-24 17:59:28,150] Epoch<1/3> current lr:0.010000
[INFO] [2024-04-24 17:59:39,699] Epoch<1/3>|Step<1/13> avg loss:0.920415
[INFO] [2024-04-24 17:59:40,451] Epoch<1/3>|Step<2/13> avg loss:0.878807
[INFO] [2024-04-24 17:59:41,165] Epoch<1/3>|Step<3/13> avg loss:0.815159
[INFO] [2024-04-24 17:59:41,881] Epoch<1/3>|Step<4/13> avg loss:0.728906
[INFO] [2024-04-24 17:59:42,573] Epoch<1/3>|Step<5/13> avg loss:0.632557
[INFO] [2024-04-24 17:59:43,326] Epoch<1/3>|Step<6/13> avg loss:0.543018
[INFO] [2024-04-24 17:59:44,060] Epoch<1/3>|Step<7/13> avg loss:0.470902
[INFO] [2024-04-24 17:59:44,770] Epoch<1/3>|Step<8/13> avg loss:0.415346
[INFO] [2024-04-24 17:59:45,519] Epoch<1/3>|Step<9/13> avg loss:0.372060
[INFO] [2024-04-24 17:59:46,239] Epoch<1/3>|Step<10/13> avg loss:0.337477
[INFO] [2024-04-24 17:59:46,977] Epoch<1/3>|Step<11/13> avg loss:0.309378
[INFO] [2024-04-24 17:59:47,718] Epoch<1/3>|Step<12/13> avg loss:0.285741
[INFO] [2024-04-24 17:59:48,068] Epoch<1/3>|Step<13/13> avg loss:0.265353
[INFO] [2024-04-24 18:00:41,599] Epoch<1/3> current loss:0.025564, best loss:0.025564, current PSNR:6.768693(max:13.596105|min:2.515923), best PSNR:6.768693
[INFO] [2024-04-24 18:00:41,599] Epoch<2/3> current lr:0.010000
[INFO] [2024-04-24 18:00:53,555] Epoch<2/3>|Step<1/13> avg loss:0.028735
[INFO] [2024-04-24 18:00:54,307] Epoch<2/3>|Step<2/13> avg loss:0.027655
[INFO] [2024-04-24 18:00:55,028] Epoch<2/3>|Step<3/13> avg loss:0.026682
[INFO] [2024-04-24 18:00:55,682] Epoch<2/3>|Step<4/13> avg loss:0.026656
[INFO] [2024-04-24 18:00:56,416] Epoch<2/3>|Step<5/13> avg loss:0.026572
[INFO] [2024-04-24 18:00:57,124] Epoch<2/3>|Step<6/13> avg loss:0.026753
[INFO] [2024-04-24 18:00:57,813] Epoch<2/3>|Step<7/13> avg loss:0.026582
[INFO] [2024-04-24 18:00:58,532] Epoch<2/3>|Step<8/13> avg loss:0.026339
[INFO] [2024-04-24 18:00:59,177] Epoch<2/3>|Step<9/13> avg loss:0.026406
[INFO] [2024-04-24 18:00:59,881] Epoch<2/3>|Step<10/13> avg loss:0.026457
[INFO] [2024-04-24 18:01:00,657] Epoch<2/3>|Step<11/13> avg loss:0.026279
[INFO] [2024-04-24 18:01:01,382] Epoch<2/3>|Step<12/13> avg loss:0.026317
[INFO] [2024-04-24 18:01:01,716] Epoch<2/3>|Step<13/13> avg loss:0.026519
[INFO] [2024-04-24 18:01:55,295] Epoch<1/3> current lr:0.010000
[INFO] [2024-04-24 18:02:08,506] Epoch<1/3>|Step<1/13> avg loss:0.922933
[INFO] [2024-04-24 18:02:09,281] Epoch<1/3>|Step<2/13> avg loss:0.899389
[INFO] [2024-04-24 18:02:10,034] Epoch<1/3>|Step<3/13> avg loss:0.859192
[INFO] [2024-04-24 18:02:10,793] Epoch<1/3>|Step<4/13> avg loss:0.807434
[INFO] [2024-04-24 18:02:11,453] Epoch<1/3>|Step<5/13> avg loss:0.744969
[INFO] [2024-04-24 18:02:12,215] Epoch<1/3>|Step<6/13> avg loss:0.678331
[INFO] [2024-04-24 18:02:12,960] Epoch<1/3>|Step<7/13> avg loss:0.610703
[INFO] [2024-04-24 18:02:13,810] Epoch<1/3>|Step<8/13> avg loss:0.547082
[INFO] [2024-04-24 18:02:14,846] Epoch<1/3>|Step<9/13> avg loss:0.491686
[INFO] [2024-04-24 18:02:15,564] Epoch<1/3>|Step<10/13> avg loss:0.445666
[INFO] [2024-04-24 18:02:16,334] Epoch<1/3>|Step<11/13> avg loss:0.408003
[INFO] [2024-04-24 18:02:17,131] Epoch<1/3>|Step<12/13> avg loss:0.376021
[INFO] [2024-04-24 18:02:17,467] Epoch<1/3>|Step<13/13> avg loss:0.349024
[INFO] [2024-04-24 18:03:08,041] Epoch<1/3> current loss:0.025403, best loss:0.025403, current PSNR:22.131727(max:27.116631|min:19.636419), best PSNR:22.131727
[INFO] [2024-04-24 18:03:08,041] Epoch<2/3> current lr:0.010000
[INFO] [2024-04-24 18:03:19,615] Epoch<2/3>|Step<1/13> avg loss:0.024973
[INFO] [2024-04-24 18:03:20,320] Epoch<2/3>|Step<2/13> avg loss:0.024997
[INFO] [2024-04-24 18:03:21,054] Epoch<2/3>|Step<3/13> avg loss:0.024678
[INFO] [2024-04-24 18:03:21,753] Epoch<2/3>|Step<4/13> avg loss:0.025413
[INFO] [2024-04-24 18:03:22,467] Epoch<2/3>|Step<5/13> avg loss:0.025113
[INFO] [2024-04-24 18:03:23,135] Epoch<2/3>|Step<6/13> avg loss:0.025323
[INFO] [2024-04-24 18:03:23,885] Epoch<2/3>|Step<7/13> avg loss:0.025071
[INFO] [2024-04-24 18:03:24,549] Epoch<2/3>|Step<8/13> avg loss:0.025149
